,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4,Overall,Overall,Overall
,MAPE,MSPE,Large Forecast Error,MAPE,MSPE,Large Forecast Error,MAPE,MSPE,Large Forecast Error,MAPE,MSPE,Large Forecast Error,MAPE,MSPE,Large Forecast Error
y_hat_rw,0.5815969056052249,0.45936842238545617,0.2828282828282828,0.4649387784331348,0.34382343133761384,0.2222222222222222,0.4415536331550857,0.31339838714691054,0.18181818181818182,0.6249307395117127,0.5260134212539781,0.3771043771043771,0.5282550141762895,0.4106509155309897,0.265993265993266
y_hat_srw,0.5046859059028219,0.3902263952832149,0.25925925925925924,0.45200777774884005,0.34172364467198624,0.23232323232323232,0.45067340794304606,0.32922060029296424,0.20202020202020202,0.6079891091706657,0.5043278933115684,0.367003367003367,0.5038390501913435,0.3913746333899334,0.26515151515151514
y_hat_sarima_f,0.4958168992199733,0.38305767222025777,0.25252525252525254,0.418395887714503,0.30747390159862314,0.2053872053872054,0.451870450440168,0.33543287606981087,0.21212121212121213,0.6040742346728901,0.49368093215253916,0.3367003367003367,0.4925393680118836,0.37991134551030775,0.2516835016835017
y_hat_sarima_g,0.5224669501247367,0.4067910372892772,0.2727272727272727,0.4456495439862606,0.3404956970976647,0.2255892255892256,0.46511515603163395,0.34613494988479954,0.2255892255892256,0.607445957595486,0.49952478673986095,0.3569023569023569,0.5101694019345293,0.3982366177529006,0.2702020202020202
y_hat_sarima_br,0.5066053264873442,0.39006291642847896,0.23232323232323232,0.4329694352952121,0.31976341621252924,0.19528619528619529,0.4394971868868293,0.3172591627268059,0.19528619528619529,0.5801136347227315,0.46581615288159317,0.3063973063973064,0.4897963958480292,0.3732254120623518,0.23232323232323232
y_hat_mlm1,0.5753972197940036,0.4637912416727002,0.31313131313131315,0.49205545667003425,0.3821431814235321,0.2727272727272727,0.4895444995163827,0.36975747634350314,0.22895622895622897,0.5968766801881755,0.48565784782594057,0.35353535353535354,0.538468464042149,0.425337436816419,0.29208754208754206
y_hat_mlm2,0.5507658431903636,0.4371608630566683,0.2828282828282828,0.4885088340703148,0.3761401336149519,0.2558922558922559,0.5116406390963707,0.3947094900869762,0.2727272727272727,0.6474322760969593,0.5544708731730141,0.43434343434343436,0.549586898113502,0.44062033998290256,0.3114478114478115
y_hat_mlm4,0.782618375166601,0.7204334744022923,0.6161616161616161,0.7847012422879556,0.7169824700903897,0.6026936026936027,0.7557641136298715,0.6841516836172992,0.5622895622895623,0.786135803602649,0.7236865968174351,0.6195286195286195,0.7773048836717692,0.711313556231854,0.6001683501683501
y_hat_ul1_i_tuned_simple,0.5378955564964044,0.4145233735062262,0.2558922558922559,0.4404559959727117,0.30982649152459374,0.18518518518518517,0.47424308873055665,0.3414950890349397,0.18518518518518517,0.5863734435220926,0.46712755727589267,0.3164983164983165,0.5097420211804414,0.3832431278354131,0.2356902356902357
