企業名,NKCODE,日経業種コード,日経業種名（漢字）,日経業種名（英文）,日経業種大分類,日経業種中分類,日経業種小分類,東証業種コード,東証業種名（漢字）,東証業種名（英文）,日本標準産業分類（１）,日本標準産業分類（２）,日本標準産業分類（３）
あらた,N0030577,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005523,000005532,000005524
いすゞ自動車,N0001352,127261,自動車,Motor Vehicles,1,27,261,3700,輸送用機器,Transport Equipment,000003111,000003113,000000000
いなげや,N0001690,245442,スーパー,Supermarket Chains,2,45,442,6100,小売業,Retail Trade,000005611,000000000,000000000
かどや製油,N0016108,101008,調味料,Flavoring Extracts,1,01,008,3050,食料品,Foods,000000981,000000000,000000000
きんでん,N0000132,241404,電設工事,Electric Plant Construction,2,41,404,2050,建設業,Construction,000000811,000000000,000000000
さくらインターネット,N0031112,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000004011,000000000,000000000
たけびし,N0018057,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000000000,000000000
なとり,N0003663,101010,その他食品,"Foods, NEC",1,01,010,3050,食料品,Foods,000000929,000000999,000000000
はせがわ,N0018224,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000006011,000000000,000000000
はるやまホールディングス,N0016484,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005721,000000000,000000000
ぴあ,N0016438,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000008096,000004141,000000000
やまや,N0016178,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005222,000005851,000000000
りらいあコミュニケーションズ,N0019717,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000003921,000003922,000000000
わかもと製薬,N0000601,109083,大衆向医薬品,Proprietary Drugs,1,09,083,3250,医薬品,Pharmaceutical,000001652,000000000,000000000
アイカ工業,N0000532,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001825,000000000,000000000
アイコム,N0012703,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000003013,000002899,000000000
アイシン,N0001387,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000002635,000000000
アイダエンジニアリング,N0001005,121202,プレス機械,Press Machines,1,21,202,3600,機械,Machinery,000002661,000002662,000002694
アイチコーポレーション,N0001410,121204,運搬機・建設機械・内燃機,Construction Machines,1,21,204,3600,機械,Machinery,000002621,000003111,000000000
アイティフォー,N0025965,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003921,000007499
アイティメディア,N0031432,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000004011,000000000,000000000
アイネス,N0040455,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003921,000000000,000000000
アイネット,N0003006,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003921,000003911,000000000
アイホン,N0007184,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000003011,000000000,000000000
アイロムグループ,N0030768,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000009299,000008369,000000000
アキレス,N0000701,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001921,000001833,000000000
アクシアル　リテイリング,N0015263,245442,スーパー,Supermarket Chains,2,45,442,6100,小売業,Retail Trade,000005811,000000000,000000000
アクセル,N0035110,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002814,000000000,000000000
アジアパイルホールディングス,N0031023,115143,セメント二次,Concrete Products,1,15,143,3400,ガラス・土石製品,Glass & Ceramics Products,000000723,000002123,000000000
アステラス製薬,N0000593,109082,医家向医薬品,Ethical Drugs,1,09,082,3250,医薬品,Pharmaceutical,000001651,000000000,000000000
アズビル,N0001251,123226,制御機器,Electric Industrial Controls,1,23,226,3650,電気機器,Electric Appliances,000002972,000000000,000000000
アズワン,N0016320,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005493,000005522,000005599
アツギ,N0000365,103025,繊維二次加工,Finished Textile Goods,1,03,025,3100,繊維製品,Textile & Apparels,000001159,000000000,000000000
アドウェイズ,N0031252,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000004011,000000000,000000000
アドソル日進,N0003255,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000000000,000000000
アドバネクス,N0000969,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002492,000000000,000000000
アドバンテスト,N0018060,123226,制御機器,Electric Industrial Controls,1,23,226,3650,電気機器,Electric Appliances,000002971,000000000,000000000
アドヴァングループ,N0016299,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000006094,000005319,000006911
アネスト岩田,N0001089,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002522,000000000,000000000
アマダ,N0001001,121201,工作機械,Machine Tools,1,21,201,3600,機械,Machinery,000002662,000002661,000000000
アマノ,N0001109,121209,事務機,Office Machines,1,21,209,3600,機械,Machinery,000002999,000002939,000003033
アミューズ,N0030475,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000008023,000004111,000004114
アリアケジャパン,N0009488,101008,調味料,Flavoring Extracts,1,01,008,3050,食料品,Foods,000000942,000000943,000000949
アルインコ,N0005638,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002499,000006022,000007019
アルコニックス,N0031229,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005352,000000000,000000000
アルゴグラフィックス,N0030157,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000005432,000003911,000000000
アルビス,N0016318,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005215,000005219,000005229
アルファ,N0011852,127262,自動車部品,Auto Parts & Accessories,1,27,262,3550,金属製品,Metal Products,000003113,000002429,000000000
アルファシステムズ,N0014276,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003913,000000000
アルフレッサ　ホールディングス,N0030756,243426,化学商社,Wholesale - Chemicals,2,43,426,6050,卸売業,Wholesale Trade,000005521,000001652,000000000
アルプスアルパイン,N0001224,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002915,000003014,000002899
アルプス物流,N0016278,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004411,000004711,000000000
アンリツ,N0001210,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000002971,000003011,000003013
アートネイチャー,N0038648,133325,その他製造業,"Manufacturing, NEC",1,33,325,3800,その他製品,Other Products,000003229,000006099,000000000
アーレスティ,N0000915,119183,アルミ（含ダイカスト）,Aluminum,1,19,183,3500,非鉄金属,Nonferrous Metals,000002354,000002322,000002353
イエローハット,N0016808,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005422,000005913,000000000
イソライト工業,N0000773,115145,耐火煉瓦,Bricks,1,15,145,3400,ガラス・土石製品,Glass & Ceramics Products,000002151,000002159,000000000
イチカワ,N0000359,103026,その他繊維,Miscellaneous Textile Products,1,03,026,3100,繊維製品,Textile & Apparels,000001157,000000000,000000000
イチケン,N0000101,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000611,000000000,000000000
イチネンホールディングス,N0033960,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007041,000005331,000000000
イノテック,N0009062,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000005492,000000000
イビデン,N0000488,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002814,000001629,000000000
イフジ産業,N0009494,101010,その他食品,"Foods, NEC",1,01,010,3050,食料品,Foods,000000919,000000000,000000000
イリソ電子工業,N0016176,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002899,000000000,000000000
インターネットイニシアティブ,N0023793,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000004011,000000000,000000000
インフォコム,N0005422,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003913,000000000
