Model,U-RW,U-RW,U-RW,U-RW,U-SRW,U-SRW,U-SRW,U-SRW,U-ARIMA-F,U-ARIMA-F,U-ARIMA-F,U-ARIMA-F,U-ARIMA-G,U-ARIMA-G,U-ARIMA-G,U-ARIMA-G,U-ARIMA-BR,U-ARIMA-BR,U-ARIMA-BR,U-ARIMA-BR,M-OLS1,M-OLS1,M-OLS1,M-OLS1,M-OLS2,M-OLS2,M-OLS2,M-OLS2,M-OLS3,M-OLS3,M-OLS3,M-OLS3,U-RIDGE,U-RIDGE,U-RIDGE,U-RIDGE,U-LASSO,U-LASSO,U-LASSO,U-LASSO,U-EN,U-EN,U-EN,U-EN,U-RF,U-RF,U-RF,U-RF,U-NN,U-NN,U-NN,U-NN,M-RIDGE,M-RIDGE,M-RIDGE,M-RIDGE,M-LASSO,M-LASSO,M-LASSO,M-LASSO,M-EN,M-EN,M-EN,M-EN,M-RF,M-RF,M-RF,M-RF,M-NN,M-NN,M-NN,M-NN,IBES,IBES,IBES,IBES
,MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%),MAE,MAPE,MSPE,Large Forecast Error(%)
Firm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あらた,30.6,0.285,0.142,8.3,17.9,0.168,0.036,0.0,19.2,0.2,0.077,0.0,18.7,0.202,0.093,0.0,19.7,0.209,0.094,0.0,20.5,0.201,0.058,0.0,29.5,0.298,0.158,0.0,94.4,0.628,0.535,33.3,17.3,0.194,0.106,0.0,16.8,0.186,0.103,0.0,21.4,0.221,0.104,0.0,19.5,0.197,0.071,0.0,15.7,0.144,0.031,0.0,19.6,0.212,0.08,0.0,17.5,0.184,0.063,0.0,17.5,0.184,0.063,0.0,20.9,0.213,0.084,0.0,26.4,0.28,0.141,0.0,-,-,-,-
いすゞ自動車,22.8,0.787,0.685,41.7,10.0,0.302,0.163,8.3,10.8,0.326,0.202,16.7,14.4,0.458,0.287,16.7,11.8,0.341,0.209,16.7,21.8,0.472,0.315,16.7,10.4,0.348,0.198,8.3,71.0,0.796,0.713,58.3,13.1,0.41,0.226,8.3,13.8,0.438,0.279,16.7,13.8,0.438,0.279,16.7,13.4,0.441,0.294,8.3,12.5,0.412,0.261,16.7,7.9,0.341,0.228,8.3,8.1,0.341,0.195,8.3,8.0,0.338,0.194,8.3,11.3,0.407,0.283,16.7,16.6,0.506,0.348,25.0,10.0,0.366,0.211,8.3
いなげや,18.4,0.762,0.677,50.0,18.0,0.683,0.602,41.7,16.4,0.67,0.572,41.7,16.7,0.73,0.648,41.7,13.8,0.647,0.54,33.3,21.9,0.903,0.84,58.3,17.4,0.786,0.705,58.3,24.6,0.896,0.85,75.0,16.7,0.75,0.674,50.0,15.7,0.824,0.722,50.0,15.8,0.849,0.769,50.0,18.1,0.81,0.703,41.7,22.6,0.898,0.879,83.3,14.6,0.668,0.565,41.7,15.7,0.824,0.722,50.0,15.0,0.835,0.747,58.3,11.4,0.633,0.504,16.7,21.2,0.832,0.752,41.7,-,-,-,-
かどや製油,34.9,0.457,0.308,16.7,22.7,0.394,0.265,16.7,23.2,0.406,0.299,16.7,23.8,0.372,0.224,8.3,25.4,0.394,0.236,8.3,34.4,0.483,0.355,8.3,23.3,0.373,0.194,0.0,84.6,0.726,0.641,58.3,24.5,0.336,0.217,16.7,30.4,0.428,0.275,16.7,30.4,0.428,0.275,16.7,26.9,0.356,0.236,16.7,34.8,0.504,0.341,16.7,27.5,0.445,0.279,8.3,40.0,0.55,0.407,25.0,40.0,0.55,0.407,25.0,22.0,0.313,0.204,16.7,31.4,0.474,0.331,16.7,-,-,-,-
きんでん,26.6,0.55,0.396,25.0,3.6,0.129,0.031,0.0,3.7,0.132,0.033,0.0,4.0,0.169,0.062,0.0,3.9,0.152,0.047,0.0,5.4,0.184,0.077,0.0,7.6,0.283,0.143,0.0,15.1,0.438,0.265,0.0,4.4,0.161,0.042,0.0,4.3,0.157,0.04,0.0,4.3,0.158,0.041,0.0,3.6,0.138,0.038,0.0,7.8,0.309,0.153,0.0,3.0,0.09,0.014,0.0,2.3,0.062,0.005,0.0,2.3,0.063,0.005,0.0,5.0,0.208,0.118,0.0,7.3,0.233,0.093,0.0,-,-,-,-
さくらインターネット,2.2,0.706,0.638,50.0,2.8,0.75,0.688,50.0,2.4,0.708,0.626,50.0,67.9,0.754,0.696,58.3,57.0,0.789,0.734,58.3,145.0,0.827,0.801,75.0,65.9,0.961,0.94,91.7,264.1,0.962,0.941,91.7,62.6,0.82,0.775,75.0,62.4,0.81,0.773,75.0,62.4,0.81,0.773,75.0,2.6,0.811,0.719,50.0,122.3,1.0,1.0,100.0,3.1,0.677,0.617,58.3,5.8,0.766,0.716,66.7,5.8,0.766,0.716,66.7,12.3,0.775,0.692,58.3,415.0,0.913,0.895,83.3,-,-,-,-
たけびし,6.8,0.224,0.097,0.0,10.3,0.335,0.188,8.3,9.0,0.315,0.176,8.3,9.1,0.332,0.21,8.3,8.3,0.281,0.16,8.3,10.8,0.411,0.264,0.0,10.2,0.39,0.263,16.7,20.0,0.599,0.523,41.7,7.7,0.283,0.153,0.0,10.0,0.283,0.107,0.0,8.5,0.251,0.084,0.0,7.2,0.266,0.121,0.0,7.2,0.25,0.121,0.0,6.0,0.196,0.06,0.0,3.8,0.131,0.033,0.0,3.9,0.132,0.029,0.0,7.5,0.287,0.152,0.0,11.8,0.33,0.142,0.0,-,-,-,-
なとり,45.4,0.729,0.631,50.0,11.1,0.393,0.218,8.3,11.4,0.405,0.238,8.3,10.0,0.394,0.288,16.7,9.1,0.336,0.21,8.3,12.0,0.462,0.324,25.0,13.8,0.423,0.276,16.7,40.8,0.703,0.615,50.0,11.5,0.39,0.223,8.3,12.3,0.414,0.233,0.0,12.3,0.414,0.233,0.0,8.6,0.327,0.204,8.3,9.2,0.294,0.183,8.3,5.6,0.243,0.11,0.0,4.0,0.178,0.06,0.0,4.0,0.178,0.06,0.0,10.1,0.391,0.25,8.3,12.8,0.439,0.293,16.7,-,-,-,-
