企業名,"(2018, 'Q1')","(2018, 'Q2')","(2018, 'Q3')","(2018, 'Q4')","(2019, 'Q1')","(2019, 'Q2')","(2019, 'Q3')","(2019, 'Q4')","(2020, 'Q1')","(2020, 'Q2')","(2020, 'Q3')","(2020, 'Q4')"
あらた,[82.8566],[99.2047],[102.9536],[78.4109],[95.9574],[103.5369],[107.1884],[102.704],[105.5123],[102.2705],[117.1875],[110.6173]
いすゞ自動車,[33.85580323],[30.48],[34.2356],[31.0432],[37.613],[31.0415],[37.0655],[27.9795],[33.2131],[23.13710323],[37.1552],[26.6776]
いなげや,[-0.7313],[7.3756],[13.6596],[-4.775],[-5.2035],[2.2975],[14.7167],[0.8896],[6.6461],[9.4097],[18.7624],[2.7314]
かどや製油,[83.0668],[107.6897],[93.6187],[90.814],[62.4339],[69.9385],[76.9808],[55.4825],[73.2046],[71.6306],[55.2346],[55.4878]
きんでん,[12.36],[30.4811],[30.682],[57.3552],[14.2568],[30.2038],[33.9355],[53.2492],[26.651],[42.1828],[46.9054],[58.6198]
さくらインターネット,[3.1361],[4.3231],[28.9998],[3.1581],[4.6284],[39.9117],[0.7642],[1.8236],[2.7814],[1.444],[2.1032],[3.3062]
たけびし,[40.6732],[41.9659],[41.9869],[44.3962],[37.76],[35.5997],[35.7461],[34.4755],[28.0255],[26.622],[25.53],[35.6938]
なとり,[34.262],[27.2203],[58.582],[-21.1046],[26.3516],[28.094],[63.3259],[-22.4921],[31.2267],[19.4572],[60.4451],[-20.2318]
はせがわ,[-5.5931],[32.0063],[-3.6783],[7.783],[-5.8881],[27.7329],[-9.1237],[-5.5011],[-14.0835],[20.6887],[-3.8067],[3.5012]
はるやまホールディングス,[-0.3448],[-23.964],[33.054],[59.8475],[-17.5519],[-25.4478],[9.5761],[45.6328],[-17.0841],[-42.9703],[-13.0395],[-2.6969]
ぴあ,[16.6947],[18.7388],[14.2634],[11.7177],[17.3313],[10.2138],[10.0107],[13.1795],[-0.5575],[-27.8645],[-7.4533],[-52.1017]
やまや,[51.0228],[90.93505945],[98.27171486],[47.19231486],[87.5167],[55.7362],[111.9819],[44.8286],[-27.5642],[41.4821],[87.00091486],[-156.3449]
りらいあコミュニケーションズ,[12.4238],[10.439],[14.8292],[22.8341],[10.3714],[15.43424423],[-4.76465577],[23.00794423],[12.33111058],[21.6812327],[15.1242],[31.8462]
